Survey,QuestionId,Question,QuestionType,Profile Characteristic,Note
,,,,,
1,1,What is the primary discipline of your research?,0,,
1,2,"How many undergraduate students, including yourself, are/were in your research group at the time of your participation?",0,,
1,3,How many people in total were in your research group?,0,,
1,4,Who was primarily responsible for mentoring and expert advice related to your research?,0,,
1,5,What was the primary setting for your research?,0,,
1,6,Approximately how was your research time distributed between settings?,0,,
1,7,How many hours per week did you work on research-related activities in your most recent research experience?,0,,
1,8,"During the same time period, how many hours per week did you devote to extracurricular activities (such as clubs, volunteering, sports, music or theater, other hobbies)?",0,,
1,9,"During the same time period, how many hours per week did you work in a paid job unrelated to your research (on campus or off campus).",0,,
1,10,"During the same time period, how many hours per week did you devote to other commitments or obligations that were not listed above? (e.g. caring for family members, unpaid work in a family business).",0,,
1,11," During the same time period, what was your status in terms of academic courses or units?",0,,
1,12,The research position allows me to make my own decisions about how to schedule my work.,1,work scheduling autonomy,
1,13,The research position allows me to decide on the order in which things are done.,1,work scheduling autonomy,
1,14,The research position allows me to plan how I do my work.,1,work scheduling autonomy,
1,15,The research position gives me a chance to use my personal initiative or judgment in carrying out the work.,1,decision making autonomy,
1,16,The research position allows me to make a lot of decisions on my own.,1,decision making autonomy,
1,17,The research position provides me with significant autonomy in making decisions.,1,decision making autonomy,
1,18,The research position allows me to make decisions about what methods I use to complete my work.,1,work methods autonomy,
1,19,The research position gives me considerable opportunity for independence and freedom in how I do the work.,1,work methods autonomy,
1,20,The research position allows me to decide on my own how to go about doing my work.,1,work methods autonomy,
1,21,The research position involves a great deal of task variety.,1,task variety,
1,22,The research position involves doing a number of different things.,1,task variety,
1,23,The research position requires the performance of a wide range of tasks.,1,task variety,
1,24,The research position involves performing a variety of tasks.,1,task variety,
1,25,The results of my work are likely to significantly affect the lives of other people.,1,task significance,
1,26,The research position itself is very significant and important in the broader scheme of things.,1,task significance,
1,27,The research position has a large impact on people outside the organization.,1,task significance,
1,28,The work performed in the research position has a significant impact on people outside my research group.,1,task significance,
1,29,The research position involves completing a piece of work that has an obvious beginning and end.,1,task identity,
1,30,The research position is arranged so that I can do an entire piece of work from beginning to end.,1,task identity,
1,31,The research position provides me the chance to completely finish the pieces of work I begin.,1,task identity,
1,32,The research position allows me to complete work I start.,1,task identity,
1,33,"The work activities themselves provide direct and clear information about the effectiveness (e.g., quality and quantity) of my performance.",1,feedback from job,
1,34,The research position itself provides feedback on my performance.,1,feedback from job,
1,35,The research position itself provides me with information about my performance.,1,feedback from job,
1,36,The research position requires that I only do one task or activity at a time.,1,job complexity,
1,37,The tasks of the research position are simple and uncomplicated.,1,job complexity,
1,38,The research position comprises relatively uncomplicated tasks.,1,job complexity,
1,39,The research position involves performing relatively simple tasks.,1,job complexity,
1,40,The research position requires me to monitor a great deal of information.,1,information processing,
1,41,The research position requires that I engage in a large amount of thinking.,1,information processing,
1,42,The research position requires me to keep track of more than one thing at a time.,1,information processing,
1,43,The research position requires me to analyze a lot of information.,1,information processing,
1,44,The research position involves solving problems that have no obvious correct answer.,1,problem solving,
1,45,The research position requires me to be creative.,1,problem solving,
1,46,The research position often involves dealing with problems that I have not met before.,1,problem solving,
1,47,The research position requires unique ideas or solutions to problems.,1,problem solving,
1,48,The research position requires a variety of skills.,1,skill variety,
1,49,The research position requires me to utilize a variety of different skills in order to complete the work.,1,skill variety,
1,50,The research position requires me to use a number of complex or high-level skills.,1,skill variety,
1,51,The research position requires the use of a number of skills.,1,skill variety,
1,52,"The research position is highly specialized in terms of purpose, tasks, or activities.",1,specialization,
1,53,"The tools, procedures, materials, and so forth used in this research position are highly specialized in terms of purpose.",1,specialization,
1,54,The research position requires very specialized knowledge and skills.,1,specialization,
1,55,The research position requires a depth of knowledge and expertise.,1,specialization,
1,56,I have the opportunity to develop close friendships in this research position.,1,social support,
1,57,I have the chance in this research position to get to know other people.,1,social support,
1,58,I have the opportunity to meet with others in this research position.,1,social support,
1,59,My group leader is concerned about the welfare of the people in the research group.,1,social support,
1,60,People I work with take a personal interest in me.,1,social support,
1,61,People I work with are friendly.,1,social support,
1,62,The research position requires me to accomplish my work before others complete their work.,1,initiated interdependence,
1,63,Other jobs depend directly on my job.,1,initiated interdepenence,
1,64,"Unless my job gets done, other jobs cannot be completed.",1,initiated interdependence,
1,65,My research activities are greatly affected by the work of other people.,1,received interdependence,
1,66,The research project depends on the work of many different people for its completion.,1,received interdependence,
1,67,My work cannot be done unless others do their work.,1,received interdependence,
1,68,The research position requires spending a great deal of time with people outside my research group.,1,interaction outside research group,
1,69,The research position involves interaction with people who are not members of my research group.,1,interaction outside research group,
1,70,"In this research position, I frequently communicate with people who do not work in the same research group as I do.",1,interaction outside research group,
1,71,The research position involves a great deal of interaction with people outside my research group.,1,interaction outside research group,
1,72,I receive a great deal of information from my project leader and peers about my work performance.,1,feedback from others,
1,73,"Other people in the research group, such as group leader and peers, provide information about the effectiveness (e.g., quality and quantity) of my work performance.",1,feedback from others,
1,74,I receive feedback on my performance from other people in my group (such as my project leader or peers).,1,feedback from others,
1,75,I receive a great deal of information from my group leader about my work performance.,1,faculty/project leader feedback,
1,76,"My group leader provides information about the effectiveness (e.g., quality and quantity) of my work performance.",1,faculty/projecdt leader feedback,
1,77,I receive feedback on my performance from my group leader.,1,faculty/project leader feedback,
1,78,I receive a great deal of information from other students in my group about my work performance.,1,peer feedback,
1,79,"Other students in the research group provide information about the effectiveness (e.g., quality and quantity) of my work performance.",1,peer feedback,
1,80,I receive feedback on my performance from other students in my group.,1,peer feedback,
1,81,"The seating arrangements in my research space are adequate (e.g., ample opportunities to sit, comfortable chairs, good postural support).",1,ergonomics,
1,82,"The research space allows for all size differences between people in terms of clearance, reach, eye height, legroom, etc.",1,ergonomics,
1,83,The research position involves excessive reaching.,1,ergonomics,
1,84,The research position requires a great deal of muscular endurance.,1,physical demands,
1,85,The research position requires a great deal of muscular strength.,1,physical demands,
1,86,The research position requires a lot of physical effort.,1,physical demands,
1,87,The research space is free from excessive noise.,1,work conditions,
1,88,The climate in the research space is comfortable in terms of temperature and humidity.,1,work conditions,
1,89,The research position has a low risk of accident.,1,work conditions,
1,90,"The research position takes place in an environment free from health hazards (e.g., chemicals, fumes, etc.).",1,work conditions,
1,91,The research position occurs in a clean environment.,1,work conditions,
1,92,The research position involves the use of a variety of different equipment.,1,equipment use,
1,93,The research position involves the use of complex equipment or technology.,1,equipment use,
1,94,A lot of time was required to learn the equipment used in the research position.,1,equipment use,
2,1,What type of organization do you work in?,0,,
2,2,Which of degrees did you earn and what year did you earn them in (fill all that apply),0,,
2,3,In which year did you work at the position for which you are answering the survey?,0,,
2,4,How do you spend your time in this job (fieldwork)?,0,,
,5,How do you spend your time in this job (lab work)?,0,,
,6,How do you spend your time in this job (computer work)?,0,,
2,7,The job allows me to make my own decisions about how to schedule my work.,1,work scheduling autonomy,
2,8,The job allows me to decide on the order in which things are done.,1,work scheduling autonomy,
2,9,The job allows me to plan how I do my work.,1,work scheduling autonomy,
2,10,The job gives me a chance to use my personal initiative or judgment in carrying out the work.,1,decision making autonomy,
2,11,The job allows me to make a lot of decisions on my own.,1,decision making autonomy,
2,12,The job provides me with significant autonomy in making decisions.,1,decision making autonomy,
2,13,The job allows me to make decisions about what methods I use to complete my work.,1,work methods autonomy,
2,14,The job gives me considerable opportunity for independence and freedom in how I do the work.,1,work methods autonomy,
2,15,The job allows me to decide on my own how to go about doing my work.,1,work methods autonomy,
2,16,The job involves a great deal of task variety.,1,task variety,
2,17,The job involves doing a number of different things.,1,task variety,
2,18,The job requires the performance of a wide range of tasks.,1,task variety,
2,19,The job involves performing a variety of tasks.,1,task variety,
2,20,The results of my work are likely to significantly affect the lives of other people.,1,task significance,
2,21,The job itself is very significant and important in the broader scheme of things.,1,task significance,
2,22,The job has a large impact on people outside the organization.,1,task significance,
2,23,The work performed in the job has a significant impact on people outside my research group.,1,task significance,
2,24,The job involves completing a piece of work that has an obvious beginning and end.,1,task identity,
2,25,The job is arranged so that I can do an entire piece of work from beginning to end.,1,task identity,
2,26,The job provides me the chance to completely finish the pieces of work I begin.,1,task identity,
